ID;title;artist;year;audio_url
100;Undertheker;Drunken Masters;2025;audio/100.mp3
101;Das geht ab - Wir feiern die ganze Nacht [Remix];Die Atzen;2024;audio/101.mp3
102;DJ Got Us Fallin' In Love;Usher;2010;audio/102.mp3
103;Abenteuerland;FiNCH;2024;audio/103.mp3
104;Ohne mein Team;Bonez MC;2016;audio/104.mp3
105;2 FAST 2 FURIOUS;LOKIMITDERMASKE;2023;audio/105.mp3
106;Achterbahn;Helene Fischer;2017;audio/106.mp3
107;Freaks (Radio Edit);Timmy Trumpet;2014;audio/107.mp3
108;Autokorso;Filow;2024;audio/108.mp3
109;Erinner mich;HBz;2023;audio/109.mp3
110;Grüner Tee;LOKIMITDERMASKE;2019;audio/110.mp3
111;L'Amour Toujours (Hardstyle);Always Mirin;2023;audio/111.mp3
112;Lay All Your Love On Me;Lietru;2023;audio/112.mp3
113;Herz an Herz;KXXMA;2022;audio/113.mp3
114;In meinem Benz;AK AUSSERKONTROLLE;2020;audio/114.mp3
115;SUMMERTIME SADNESS (HARDSTYLE);SICK LEGEND;2022;audio/115.mp3
116;Centuries;Fall Out Boy;2014;audio/116.mp3
117;WO ICH HERKOMM;Tream;2024;audio/117.mp3
118;PALERMO;Ski Aggu;2025;audio/118.mp3
119;Roller;Apache 207;2019;audio/119.mp3
120;Durstlöscher;01099;2021;audio/120.mp3
121;Ich will;Miksu / Macloud;2023;audio/121.mp3
122;"Rhythm Is a Dancer (7"" Edit)";SNAP!;1992;audio/122.mp3
123;Sky and Sand;Paul Kalkbrenner;2008;audio/123.mp3
124;Lila Wolken;Marteria;2012;audio/124.mp3
125;9 bis 9;SIRA;2023;audio/125.mp3
126;Nachts wach;Miksu / Macloud;2022;audio/126.mp3
127;Sehnsucht;Miksu;2022;audio/127.mp3
128;Panama;GReeeN;2023;audio/128.mp3
129;Traum;CRO;2014;audio/129.mp3
130;Easy;CRO;2011;audio/130.mp3
131;PARADISE (MIT DIR);Liaze;2022;audio/131.mp3
132;We Made It;t-low;2022;audio/132.mp3
133;Sommergewitter;Pashanim;2021;audio/133.mp3
134;Geile Zeit;Juli;2004;audio/134.mp3
135;Anders;01099;2020;audio/135.mp3
136;JUNGE BALLER;6PM RECORDS;2024;audio/136.mp3
137;Monster;LUM!X;2019;audio/137.mp3
138;Somebody That I Used To Know;Gotye;2011;audio/138.mp3
139;bad bunnies;Zsá Zsá;2025;audio/139.mp3
140;AKON;Jazeek;2025;audio/140.mp3
141;Grey Goose;BANE;2025;audio/141.mp3
142;Kids;MGMT;2007;audio/142.mp3
143;Powerade;BHZ;2022;audio/143.mp3
144;Vielleicht Vielleicht (Holy Priest & elMefti Remix);MilleniumKid;2025;audio/144.mp3
145;Unendlichkeit (Remix);MilleniumKid;2023;audio/145.mp3
146;Ms. Jackson;Pashanim;2023;audio/146.mp3
147;The Days (NOTION Remix);CHRYSTAL;2024;audio/147.mp3
148;Stick Season;Noah Kahan;2022;audio/148.mp3
149;Jet Plane;Gusted;2022;audio/149.mp3
150;Blutgruppe Alkohol;ArniTheSavage;2022;audio/150.mp3
151;Summertime Sadness;Lana Del Rey;2012;audio/151.mp3
152;Dornwald;Hänsel;2023;audio/152.mp3
153;ESKALIEREN;Zensery;2023;audio/153.mp3
154;nobody (make me feel);oskar med k;2025;audio/154.mp3
155;DAS RENNEN;RIN;2020;audio/155.mp3
156;Faded;Alan Walker;2015;audio/156.mp3
